Date,Uniques,People,Visits,PageViews,MobileWeb
Apr.10,11747588,8600926,34796176,532647872,
May.10,12914020,9512435,37296948,540280000,
Jun.10,14354238,10510566,42186288,654634432,
Jul.10,15894178,11502011,48489672,796054976,
Aug.10,17272078,12490288,52623392,890989632,
Sep.10,17885260,12697970,58042416,949975680,
Oct.10,19543620,13682499,66247812,1152758272,
Nov.10,21255462,14876519,71802024,1447996160,
Dec.10,22123400,15356831,76648040,1690287104,
Jan.11,25477372,17550350,89743976,2118378496,
Feb.11,28364152,19523976,99431752,2301165568,
Mar.11,29950706,20740012,102498712,2364452352,
Apr.11,34169012,23773100,113756472,2810123008,
May.11,36050592,25171076,117920304,2968192000,
Jun.11,40038036,27704266,133635544,3952461312,
Jul.11,40949852,28396444,135301744,5467986944,
Aug.11,44451040,30696310,147535040,5917330432,
Sep.11,42893172,29613140,143125744,5623397888,
Oct.11,46817692,32875280,145261392,5818850816,
Nov.11,49344704,34233752,158779904,6554800640,4943055
Dec.11,57633760,40312588,175415744,7086670848,6839828
Jan.12,61393312,43024632,183317312,7819784192,7277295
Feb.12,67097468,47092508,195438784,7951558656,7895209
Mar.12,63050392,43849896,192582272,7478280704,7844614
Apr.12,68296408,47386080,206870112,8044654080,9040642
May.12,64585808,44912904,196377040,7095313920,8086736
Jun.12,56125740,38781812,179469056,7408085504,7251678
Jul.12,58482312,40276592,187893504,7788696576,9483424
Aug.12,64687680,44583532,203155888,7209520128,11566846
Sep.12,64473264,44356548,203986736,6655901184,14002496
Oct.12,70097672,48589760,211806912,6908087808,15271290
Nov.12,76352304,53148696,222232528,7668860416,16365916
Dec.12,73579872,51739476,207906144,7529568256,18129978
Jan.13,75785400,52908104,218539888,7615451648,20719080
Feb.13,71321712,51339176,185091632,6657366016,19871920
Mar.13,65020200,45887920,186736064,6036355072,17604548
Apr.13,67315776,46370232,209991264,5391501824,18301324
May.13,64252544,44818252,193385728,5611339776,17250052
